Periodo;Total
2025M08;118.824
2025M07;118.777
2025M06;118.867
2025M05;118.077
2025M04;117.997
2025M03;117.260
2025M02;117.191
2025M01;116.733
2024M12;116.534
2024M11;116.010
2024M10;115.726
2024M09;115.009
2024M08;115.707
2024M07;115.660
2024M06;116.212
2024M05;115.776
2024M04;115.472
2024M03;114.674
2024M02;113.807
2024M01;113.404
2023M12;113.308
2023M11;113.280
2023M10;113.676
2023M09;113.348
2023M08;113.149
2023M07;112.544
2023M06;112.354
2023M05;111.719
2023M04;111.773
2023M03;111.111
2023M02;110.703
2023M01;109.668
2022M12;109.899
2022M11;109.734
2022M10;109.866
2022M09;109.498
2022M08;110.265
2022M07;109.986
2022M06;110.267
2022M05;108.262
2022M04;107.375
2022M03;107.566
2022M02;104.403
2022M01;103.567
2021M12;103.965
2021M11;102.738
2021M10;102.425
2021M09;100.575
2021M08;99.743
2021M07;99.292
2021M06;100.046
2021M05;99.572
2021M04;99.105
2021M03;97.949
2021M02;97.008
2021M01;97.583
2020M12;97.574
2020M11;97.367
2020M10;97.208
2020M09;96.700
2020M08;96.555
2020M07;96.511
2020M06;97.385
2020M05;96.938
2020M04;96.944
2020M03;96.652
2020M02;97.024
2020M01;97.139
2019M12;98.096
2019M11;98.167
2019M10;98.001
2019M09;97.059
2019M08;97.059
2019M07;97.113
2019M06;97.719
2019M05;97.834
2019M04;97.644
2019M03;96.669
2019M02;96.320
2019M01;96.085
2018M12;97.329
2018M11;97.768
2018M10;97.875
2018M09;96.978
2018M08;96.742
2018M07;96.604
2018M06;97.302
2018M05;97.048
2018M04;96.181
2018M03;95.393
2018M02;95.281
2018M01;95.153
2017M12;96.190
2017M11;96.147
2017M10;95.710
2017M09;94.835
2017M08;94.670
2017M07;94.482
2017M06;95.138
2017M05;95.097
2017M04;95.154
2017M03;94.249
2017M02;94.269
2017M01;94.609
2016M12;95.132
2016M11;94.572
2016M10;94.230
2016M09;93.165
2016M08;93.161
2016M07;93.041
2016M06;93.723
2016M05;93.292
2016M04;92.785
2016M03;92.139
2016M02;91.552
2016M01;91.876
2015M12;93.663
2015M11;93.937
2015M10;93.595
2015M09;92.999
2015M08;93.286
2015M07;93.597
2015M06;94.474
2015M05;94.222
2015M04;93.774
2015M03;92.920
2015M02;92.331
2015M01;92.141
2014M12;93.646
2014M11;94.195
2014M10;94.261
2014M09;93.824
2014M08;93.681
2014M07;93.533
2014M06;94.421
2014M05;94.395
2014M04;94.373
2014M03;93.541
2014M02;93.333
2014M01;93.373
2013M12;94.632
2013M11;94.547
2013M10;94.351
2013M09;93.969
2013M08;94.145
2013M07;93.853
2013M06;94.340
2013M05;94.201
2013M04;94.028
2013M03;93.678
2013M02;93.349
2013M01;93.188
2012M12;94.394
2012M11;94.328
2012M10;94.445
2012M09;93.649
2012M08;92.736
2012M07;92.217
2012M06;92.433
2012M05;92.606
2012M04;92.743
2012M03;91.458
2012M02;90.847
2012M01;90.753
2011M12;91.762
2011M11;91.643
2011M10;91.273
2011M09;90.559
2011M08;90.338
2011M07;90.226
2011M06;90.713
2011M05;90.841
2011M04;90.871
2011M03;89.754
2011M02;89.088
2011M01;88.975
2010M12;89.631
2010M11;89.084
2010M10;88.603
2010M09;87.801
2010M08;87.740
2010M07;87.519
2010M06;87.913
2010M05;87.756
2010M04;87.562
2010M03;86.639
2010M02;86.001
2010M01;86.158
2009M12;87.031
2009M11;87.053
2009M10;86.584
2009M09;85.971
2009M08;86.174
2009M07;85.874
2009M06;86.614
2009M05;86.234
2009M04;86.264
2009M03;85.430
2009M02;85.290
2009M01;85.281
2008M12;86.345
2008M11;86.790
2008M10;87.160
2008M09;86.861
2008M08;86.879
2008M07;87.066
2008M06;87.486
2008M05;86.985
2008M04;86.402
2008M03;85.482
2008M02;84.730
2008M01;84.598
2007M12;85.125
2007M11;84.770
2007M10;84.167
2007M09;83.090
2007M08;82.818
2007M07;82.704
2007M06;83.311
2007M05;83.158
2007M04;82.930
2007M03;81.800
2007M02;81.184
2007M01;81.129
2006M12;81.678
2006M11;81.455
2006M10;81.254
2006M09;80.922
2006M08;81.055
2006M07;80.890
2006M06;81.374
2006M05;81.251
2006M04;80.959
2006M03;79.833
2006M02;79.272
2006M01;79.234
2005M12;79.557
2005M11;79.386
2005M10;79.266
2005M09;78.627
2005M08;78.147
2005M07;77.805
2005M06;78.284
2005M05;78.102
2005M04;77.953
2005M03;76.846
2005M02;76.243
2005M01;76.046
2004M12;76.692
2004M11;76.767
2004M10;76.575
2004M09;75.796
2004M08;75.661
2004M07;75.328
2004M06;75.904
2004M05;75.784
2004M04;75.340
2004M03;74.322
2004M02;73.807
2004M01;73.773
