Periodo;Total
2025M08;150,62
2025M07;154,7
2025M06;149,03
2025M05;191,74
2025M04;140,54
2025M03;129,15
2025M02;132,68
2025M01;131,47
2024M12;144,6
2024M11;135,74
2024M10;143,24
2024M09;135,74
2024M08;142,64
2024M07;146,05
2024M06;144,1
2024M05;183,97
2024M04;134,51
2024M03;134,21
2024M02;130,19
2024M01;126,36
2023M12;139,78
2023M11;128,29
2023M10;136,38
2023M09;127,68
2023M08;134,69
2023M07;136,14
2023M06;133,97
2023M05;169,24
2023M04;133,05
2023M03;119,11
2023M02;122,3
2023M01;117,66
2022M12;123,28
2022M11;116,31
2022M10;123,34
2022M09;119,89
2022M08;130,74
2022M07;131,49
2022M06;126,98
2022M05;159,15
2022M04;120,85
2022M03;109,12
2022M02;115,19
2022M01;110,3
2021M12;118,25
2021M11;110,84
2021M10;113,63
2021M09;108,74
2021M08;121,42
2021M07;114,65
2021M06;107,14
2021M05;118,36
2021M04;84,76
2021M03;86,67
2021M02;91,04
2021M01;94,27
2020M12;92,42
2020M11;84,67
2020M10;89,33
2020M09;87,92
2020M08;98,94
2020M07;101,57
2020M06;..
2020M05;..
2020M04;107,16
2020M03;92,65
2020M02;103,52
2020M01;102,56
2019M12;106
2019M11;104,71
2019M10;107,51
2019M09;106,05
2019M08;112,06
2019M07;111,44
2019M06;111,51
2019M05;108,58
2019M04;107,16
2019M03;96,32
2019M02;100,73
2019M01;101,55
2018M12;103,93
2018M11;104,22
2018M10;107,52
2018M09;105,86
2018M08;111,25
2018M07;110,88
2018M06;108,48
2018M05;103,89
2018M04;100,45
2018M03;99,34
2018M02;99,63
2018M01;99,93
2017M12;102,11
2017M11;99,56
2017M10;106,22
2017M09;104,21
2017M08;109,89
2017M07;109,46
2017M06;105,97
2017M05;105,63
2017M04;103,05
2017M03;92,66
2017M02;98,99
2017M01;97,22
2016M12;99,38
2016M11;97,29
2016M10;100,36
2016M09;99,54
2016M08;105,16
2016M07;105,03
2016M06;100,26
2016M05;97,56
2016M04;94,8
2016M03;94,81
2016M02;95,55
2016M01;93,19
