Fecha,IPC_Index
2004-01-01,73.773
2004-02-01,73.807
2004-03-01,74.322
2004-04-01,75.340
2004-05-01,75.784
2004-06-01,75.904
2004-07-01,75.328
2004-08-01,75.661
2004-09-01,75.796
2004-10-01,76.575
2004-11-01,76.767
2004-12-01,76.692
2005-01-01,76.046
2005-02-01,76.243
2005-03-01,76.846
2005-04-01,77.953
2005-05-01,78.102
2005-06-01,78.284
2005-07-01,77.805
2005-08-01,78.147
2005-09-01,78.627
2005-10-01,79.266
2005-11-01,79.386
2005-12-01,79.557
2006-01-01,79.234
2006-02-01,79.272
2006-03-01,79.833
2006-04-01,80.959
2006-05-01,81.251
2006-06-01,81.374
2006-07-01,80.890
2006-08-01,81.055
2006-09-01,80.922
2006-10-01,81.254
2006-11-01,81.455
2006-12-01,81.678
2007-01-01,81.129
2007-02-01,81.184
2007-03-01,81.800
2007-04-01,82.930
2007-05-01,83.158
2007-06-01,83.311
2007-07-01,82.704
2007-08-01,82.818
2007-09-01,83.090
2007-10-01,84.167
2007-11-01,84.770
2007-12-01,85.125
2008-01-01,84.598
2008-02-01,84.730
2008-03-01,85.482
2008-04-01,86.402
2008-05-01,86.985
2008-06-01,87.486
2008-07-01,87.066
2008-08-01,86.879
2008-09-01,86.861
2008-10-01,87.160
2008-11-01,86.790
2008-12-01,86.345
2009-01-01,85.281
2009-02-01,85.290
2009-03-01,85.430
2009-04-01,86.264
2009-05-01,86.234
2009-06-01,86.614
2009-07-01,85.874
2009-08-01,86.174
2009-09-01,85.971
2009-10-01,86.584
2009-11-01,87.053
2009-12-01,87.031
2010-01-01,86.158
2010-02-01,86.001
2010-03-01,86.639
2010-04-01,87.562
2010-05-01,87.756
2010-06-01,87.913
2010-07-01,87.519
2010-08-01,87.740
2010-09-01,87.801
2010-10-01,88.603
2010-11-01,89.084
2010-12-01,89.631
2011-01-01,88.975
2011-02-01,89.088
2011-03-01,89.754
2011-04-01,90.871
2011-05-01,90.841
2011-06-01,90.713
2011-07-01,90.226
2011-08-01,90.338
2011-09-01,90.559
2011-10-01,91.273
2011-11-01,91.643
2011-12-01,91.762
2012-01-01,90.753
2012-02-01,90.847
2012-03-01,91.458
2012-04-01,92.743
2012-05-01,92.606
2012-06-01,92.433
2012-07-01,92.217
2012-08-01,92.736
2012-09-01,93.649
2012-10-01,94.445
2012-11-01,94.328
2012-12-01,94.394
2013-01-01,93.188
2013-02-01,93.349
2013-03-01,93.678
2013-04-01,94.028
2013-05-01,94.201
2013-06-01,94.340
2013-07-01,93.853
2013-08-01,94.145
2013-09-01,93.969
2013-10-01,94.351
2013-11-01,94.547
2013-12-01,94.632
2014-01-01,93.373
2014-02-01,93.333
2014-03-01,93.541
2014-04-01,94.373
2014-05-01,94.395
2014-06-01,94.421
2014-07-01,93.533
2014-08-01,93.681
2014-09-01,93.824
2014-10-01,94.261
2014-11-01,94.195
2014-12-01,93.646
2015-01-01,92.141
2015-02-01,92.331
2015-03-01,92.920
2015-04-01,93.774
2015-05-01,94.222
2015-06-01,94.474
2015-07-01,93.597
2015-08-01,93.286
2015-09-01,92.999
2015-10-01,93.595
2015-11-01,93.937
2015-12-01,93.663
2016-01-01,91.876
2016-02-01,91.552
2016-03-01,92.139
2016-04-01,92.785
2016-05-01,93.292
2016-06-01,93.723
2016-07-01,93.041
2016-08-01,93.161
2016-09-01,93.165
2016-10-01,94.230
2016-11-01,94.572
2016-12-01,95.132
2017-01-01,94.609
2017-02-01,94.269
2017-03-01,94.249
2017-04-01,95.154
2017-05-01,95.097
2017-06-01,95.138
2017-07-01,94.482
2017-08-01,94.670
2017-09-01,94.835
2017-10-01,95.710
2017-11-01,96.147
2017-12-01,96.190
2018-01-01,95.153
2018-02-01,95.281
2018-03-01,95.393
2018-04-01,96.181
2018-05-01,97.048
2018-06-01,97.302
2018-07-01,96.604
2018-08-01,96.742
2018-09-01,96.978
2018-10-01,97.875
2018-11-01,97.768
2018-12-01,97.329
2019-01-01,96.085
2019-02-01,96.320
2019-03-01,96.669
2019-04-01,97.644
2019-05-01,97.834
2019-06-01,97.719
2019-07-01,97.113
2019-08-01,97.059
2019-09-01,97.059
2019-10-01,98.001
2019-11-01,98.167
2019-12-01,98.096
2020-01-01,97.139
2020-02-01,97.024
2020-03-01,96.652
2020-04-01,96.944
2020-05-01,96.938
2020-06-01,97.385
2020-07-01,96.511
2020-08-01,96.555
2020-09-01,96.700
2020-10-01,97.208
2020-11-01,97.367
2020-12-01,97.574
2021-01-01,97.583
2021-02-01,97.008
2021-03-01,97.949
2021-04-01,99.105
2021-05-01,99.572
2021-06-01,100.046
2021-07-01,99.292
2021-08-01,99.743
2021-09-01,100.575
2021-10-01,102.425
2021-11-01,102.738
2021-12-01,103.965
